ticker,category,price,quote_currency,financial_currency,currency_match,ttm_eps,ttm_pe,forward_pe,eps_3y_cagr,fcfps_3y_cagr,backward_pe_growth,price_to_4y_median_positive_eps,ttm_fcf_yield,eps_monotonic,eps_sign_change,eps_growth_range,eps_sequence_new_to_old,fcfps_sequence_new_to_old
AAPL,secular,281.739990234375,USD,USD,True,8.26,34.10895765549334,29.320671,0.06880679389561806,-0.012048545149275336,4.957207816896343,46.03594611672794,0.031216412523330274,False,False,0.23513029106207606,"7.46,6.08,6.13,6.11","6.58,7.06,6.30,6.83"
ADBE,secular,206.42999267578125,USD,USD,True,17.48,11.809496148500072,7.4958844,0.18249242076044214,0.13685962828458442,0.6471225544211724,17.07444108153691,0.1252804153354985,True,False,0.3054474068963251,"16.70,12.36,11.82,10.10","23.07,17.50,15.12,15.70"
INTU,secular,266.3999938964844,USD,USD,True,16.39,16.25381292840051,9.749402,0.23370799285623756,0.1859222352315748,0.6954752693631164,28.265251341802053,0.1058731026286036,True,False,0.15404897116306526,"13.67,10.43,8.42,7.28","21.49,16.32,16.91,12.89"
GOOGL,secular,353.6499938964844,USD,USD,True,13.11,26.975590686230692,24.300047,0.3333790189024399,0.09519577968053516,0.8091568202174365,51.10549044746884,0.014929879990218182,True,False,0.11427707199032033,"10.81,8.04,5.80,4.56","5.99,5.85,5.46,4.56"
ETN,industrial,408.260009765625,USD,USD,True,10.22,39.94716338215508,25.94542,0.19394037764220395,0.23447140633100427,2.0597651643152237,46.605023945847606,0.023819231944038698,True,False,0.20618892508143327,"10.45,9.50,8.02,6.14","9.08,8.81,7.15,4.83"
AVGO,hybrid/acquisitive,372.45001220703125,USD,USD,True,6.01,61.97171584143615,19.202631,0.21598171113789166,0.1287567760703061,2.869303864430949,125.17224406218492,0.018489122303293404,False,False,3.505095475454451,"4.77,1.23,3.30,2.65","5.55,4.06,4.13,3.86"
AMAT,cyclical,694.6400146484375,USD,USD,True,10.63,65.34713214002234,42.62513,0.051917432034909394,0.10274168805733797,12.586741982169455,83.09091084311454,0.009687842412641612,True,False,0.0842465625117077,"8.66,8.61,8.11,7.44","7.05,8.98,8.99,5.26"
LRCX,cyclical,410.9100036621094,USD,USD,True,5.29,77.67674927450082,51.312435,0.08212873820510125,0.3221062982833427,9.457925565654932,124.59369425776512,0.011685739034390045,False,False,0.5578035282268533,"4.15,2.90,3.32,3.27","4.20,3.22,3.44,1.82"
MU,cyclical,1145.280029296875,USD,USD,True,44.24,25.88788492985703,7.665633,-0.006929629272242499,-0.1885920518658013,,150.8932844923419,0.02023392212133414,False,True,11.53188940092166,"7.59,0.70,-5.34,7.75","1.48,0.11,-5.60,2.78"
QCOM,hybrid/cyclical,188.72000122070312,USD,USD,True,9.3,20.29247324953797,17.210655,-0.23904480364790937,0.24509860286138108,,24.525016402950374,0.0628522679057724,False,False,0.8386678335885976,"5.01,8.97,6.42,11.37","11.60,9.88,8.75,6.01"
CEG,power,259.32000732421875,USD,USD,True,11.51,22.529974572043333,19.174887,,,,35.04324423300253,0.012278127425605292,False,True,12.612433377623933,"7.40,11.89,5.01,-0.49","4.10,-15.97,-23.84,-12.36"
GEV,industrial/turnaround,1102.510009765625,USD,USD,True,34.22,32.21829368105275,44.97862,,,,94.75805842420498,0.025402805914700566,True,True,6.6620261383696535,"17.69,5.58,-1.60,-10.06","13.44,6.12,1.61,-2.30"
PDD,secular/high-risk,76.54000091552734,USD,CNY,False,64.52,8.056842,6.2277527,0.45154716515234616,0.2901025915100879,0.1784274738449908,,,False,False,0.9956319631194771,"67.04,76.00,41.16,21.92","71.37,81.78,64.10,33.24"
