symbol,name,screens,screen_count,discovery_score,price,market_cap,trailing_pe,forward_pe,price_to_book,change_52w_pct,avg_volume_3m,exchange,quote_time
FINV,FinVolution Group,asset_value;cashflow_value;fallen_profitable,3,94.0,4.76,1123807488,3.8387098,3.3081493,0.47457194,-52.399998,897543,NYSE,1784318403
QFIN,"Qfin Holdings, Inc.",asset_value;cashflow_value;fallen_profitable,3,94.0,12.73,1549901440,2.2451499,2.7041547,0.43074185,-69.67603,1522979,NasdaqGS,1784318400
XYF,X Financial,asset_value;cashflow_value,2,82.0,4.64,178715040,1.2307692,12.54054,0.157126,-74.80999,102612,NYSE,1784318403
NUS,"Nu Skin Enterprises, Inc.",asset_value;cashflow_value,2,77.57,5.24,254404832,4.8518515,3.9696965,0.32070503,-38.785046,702856,NYSE,1784318402
CMCL,Caledonia Mining Corporation Plc,asset_value;cashflow_value;fallen_profitable,3,76.69,16.98,327935200,5.3396225,3.322896,1.2376995,-22.465754,236590,NYSE American,1784318400
VIOT,"Viomi Technology Co., Ltd",asset_value,1,70.0,0.8272,55688532,2.7573333,-13.786667,0.24697514,-75.58824,219746,NasdaqGS,1784318401
MOMO,Hello Group Inc.,asset_value;cashflow_value,2,69.24,6.005,887223232,9.098485,5.6182837,0.5536512,-30.497688,696116,NasdaqGS,1784318401
SITC,SITE Centers Corp.,cashflow_value,1,68.0,4.48,235087424,1.3493977,-6.054054,0.6997813,-59.3835,799150,NYSE,1784318402
SHOE,Shoe Station Group Inc.,asset_value;cashflow_value,2,67.02,14.49,393422432,10.733333,7.8607736,0.5842271,-30.934221,531475,NasdaqGS,1784318400
DDI,"DoubleDown Interactive Co., Ltd.",asset_value;cashflow_value,2,65.11,11.33,561440448,4.926087,4.730689,0.57280076,14.5601635,156027,NasdaqGS,1784318401
GSL,"Global Ship Lease, Inc.",asset_value;cashflow_value,2,64.31,40.16,1447182976,3.8393881,4.468841,0.7691866,44.564438,321487,NYSE,1784318402
CINT,CI&T Inc.,cashflow_value;fallen_profitable,2,63.39,3.23,415160000,10.419354,6.7335157,1.3029447,-41.485508,178279,NYSE,1784318402
HTT,High Templar Tech Limited,asset_value,1,62.32,2.51,389761600,3.984127,,0.22913614,-24.397587,279272,NYSE,1784318403
AII,"American Integrity Insurance Group, Inc.",asset_value;cashflow_value,2,61.11,18.66,365564608,3.8553717,6.1958976,1.0891262,10.479569,116770,NYSE,1784318402
GLRE,"Greenlight Capital Re, Ltd.",asset_value;cashflow_value,2,60.2,17.07,566151232,7.233051,10.66875,0.77580327,30.604435,187274,NasdaqGS,1784318401
MSIF,"MSC Income Fund, Inc.",fallen_profitable,1,59.79,11.32,513307968,6.1521735,7.648545,0.7133854,-32.052822,282256,NYSE,1784318402
INSP,"Inspire Medical Systems, Inc.",cashflow_value;fallen_profitable,2,59.23,50.6,1457945472,11.499999,40.06905,1.839331,-59.56529,1161162,NYSE,1784318403
VRTS,"Virtus Investment Partners, Inc.",cashflow_value;fallen_profitable,2,59.11,164.46,1098941824,9.69122,6.4468837,1.1978761,-20.68866,117190,NYSE,1784318402
SND,"Smart Sand, Inc.",asset_value;cashflow_value,2,58.14,4.77,205041696,8.672727,15.387096,0.80222,153.7234,391967,NasdaqGS,1784318401
BBW,"Build-A-Bear Workshop, Inc.",cashflow_value;fallen_profitable,2,57.78,34.13,427902944,7.9929748,7.9249163,2.640619,-35.894066,388496,NYSE,1784318403
FOR,Forestar Group Inc.,asset_value;cashflow_value,2,57.22,29.9,1525161088,9.115853,9.402515,0.83854496,35.416664,147391,NYSE,1784318403
GLOB,Globant S.A.,cashflow_value,1,57.08,32.23,1391677056,13.101625,4.8806562,0.6542037,-62.405228,1992783,NYSE,1784318403
TASK,"TaskUs, Inc.",cashflow_value,1,54.14,5.83,533900960,5.159292,3.834013,1.9407457,-65.786385,605525,NasdaqGS,1784318400
GASS,StealthGas Inc.,asset_value,1,53.69,8.53,317193920,5.047337,5.6490064,0.4391022,29.635262,135696,NasdaqGS,1784318401
FPH,"Five Point Holdings, LLC",asset_value,1,53.58,5.24,778275776,8.590163,7.939393,0.45071387,-14.379084,168067,NYSE,1784318403
EPAM,"EPAM Systems, Inc.",cashflow_value;fallen_profitable,2,53.37,88.66,4631993344,12.738506,6.269788,1.363245,-46.429,1976812,NYSE,1784318403
ETD,Ethan Allen Interiors Inc.,cashflow_value;fallen_profitable,2,53.25,22.78,579667648,14.417722,15.710344,1.22335,-21.691305,574185,NYSE,1784318402
UPWK,Upwork Inc.,cashflow_value;fallen_profitable,2,53.05,9.06,1119074304,11.185185,5.199456,1.9652929,-32.286995,4065498,NasdaqGS,1784318400
NSLR,Neostellar Capital Corp.,asset_value,1,52.84,10.2,270026848,1.4592274,-18.378378,0.71624184,16.30559,291511,NasdaqGS,1784318400
RCS,"PIMCO Strategic Income Fund, Inc.",fallen_profitable,1,52.43,5.3,250280256,6.883117,,1.1188517,-24.068768,142491,NYSE,1784318402
FVRR,Fiverr International Ltd.,cashflow_value,1,52.19,11.22,403367168,14.571429,5.369218,0.9593844,-56.578945,852395,NYSE,1784318402
JRVR,"James River Group Holdings, Inc.",asset_value,1,52.18,4.59,212227184,10.928572,4.140843,0.40938282,-19.473684,439650,NasdaqGS,1784318401
BRW,Saba Capital Income & Opportunities Fund,fallen_profitable,1,52.05,6.62,336924896,8.48718,,0.8666056,-21.096546,217466,NYSE,1784318402
LUXE,LuxExperience B.V.,cashflow_value,1,51.97,8.13,1115936768,1.3993115,-135.23375,0.80260235,7.114625,229685,NYSE,1784318402
GLAD,Gladstone Capital Corporation,fallen_profitable,1,51.34,19.91,449827968,10.6470585,10.262886,0.93207246,-29.894363,173314,NasdaqGS,1784318401
TNK,Teekay Tankers Ltd.,asset_value;cashflow_value,2,50.8,70.07,2427494912,5.69212,8.677721,1.108492,61.34008,379688,NYSE,1784318402
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,asset_value,1,50.65,23.02,1756930304,3.5800934,,0.9345567,10.993254,128743,NYSE,1784318403
CMRE,Costamare Inc.,cashflow_value,1,50.22,14.74,1779683456,5.208481,5.3021584,0.8267893,61.269154,466416,NYSE,1784318403
AMSC,American Superconductor Corporation,cashflow_value;fallen_profitable,2,50.04,33.025,1600467840,10.827869,22.264095,2.83209,-21.914894,1249943,NasdaqGS,1784318401
FSP,Franklin Street Properties Corp.,asset_value,1,50.0,0.495,51326716,,-1.5967742,0.08605703,-69.69697,647075,NYSE American,1784318400
YELP,Yelp Inc.,cashflow_value;fallen_profitable,2,49.41,26.22,1441856256,12.027522,6.367942,2.3230264,-24.806421,1288416,NYSE,1784318403
HQL,Abrdn Life Sciences Investors,asset_value,1,49.3,19.74,600254848,2.9728916,,1.0703248,51.72944,118583,NYSE,1784318402
GAB,The Gabelli Equity Trust Inc.,asset_value,1,48.78,5.63,1752037504,5.744898,,1.0075161,-3.4583986,1187588,NYSE,1784318402
INVA,"Innoviva, Inc.",cashflow_value,1,48.06,21.71,1602387968,3.468051,9.823529,1.1943008,11.333334,823066,NasdaqGS,1784318400
CLW,Clearwater Paper Corporation,asset_value,1,48.04,15.98,257681536,,-11.57971,0.31664255,-43.473648,201019,NYSE,1784318403
PD,"PagerDuty, Inc.",cashflow_value,1,47.64,10.3,794362496,4.975846,7.32804,3.6460178,-29.548561,2126962,NYSE,1784318403
SD,"SandRidge Energy, Inc.",asset_value,1,47.15,13.63,503195904,6.648781,9.147651,0.95381385,34.41814,340135,NYSE,1784318402
PXED,"Phoenix Education Partners, Inc.",cashflow_value;fallen_profitable,2,45.99,30.16,1087188864,13.834862,6.4287434,3.709717,-20.943642,110772,NYSE,1784318403
TG,Tredegar Corporation,cashflow_value,1,45.99,7.52,262435040,9.170732,6.7747746,1.1530206,-13.264132,176924,NYSE,1784318402
ECC,Eagle Point Credit Company,asset_value,1,45.92,3.7,489172448,,4.654088,0.8877159,-49.31507,1002874,NYSE,1784318402
MGPI,"MGP Ingredients, Inc.",asset_value,1,45.65,17.86,381690304,,8.49465,0.6565694,-40.70385,205045,NasdaqGS,1784318401
STNE,StoneCo Ltd.,cashflow_value,1,45.57,11.15,2711994624,4.1760297,4.6767707,1.1379948,-17.22346,5450112,NasdaqGS,1784318400
NLOP,Net Lease Office Properties,asset_value,1,44.88,11.61,171991408,,,1.0115883,-64.92447,152946,NYSE,1784318402
AD,"Array Digital Infrastructure, Inc.",fallen_profitable,1,44.67,35.0,3025503232,8.816121,38.461536,1.6276042,-49.892628,347630,NYSE,1784318402
HRTG,"Heritage Insurance Holdings, Inc.",cashflow_value,1,44.49,27.04,818596096,4.147239,5.7126803,1.532185,23.30141,451300,NYSE,1784318403
HLNE,Hamilton Lane Incorporated,cashflow_value;fallen_profitable,2,43.91,85.85,4767578112,14.501689,11.701542,4.09883,-43.47139,988454,NasdaqGS,1784318401
CRTO,Criteo S.A.,cashflow_value,1,42.98,22.48,1129496960,10.553989,4.938868,0.9941624,-3.7259102,374124,NasdaqGS,1784318401
ITRI,"Itron, Inc.",cashflow_value;fallen_profitable,2,42.95,85.99,3812740352,13.736421,13.114109,2.371353,-37.063606,762708,NasdaqGS,1784318400
ORLA,Orla Mining Ltd.,cashflow_value;fallen_profitable,2,42.88,8.61,3231442432,11.958332,5.2518573,3.9368997,-29.42623,3427150,NYSE American,1784318400
ARDT,"Ardent Health, Inc.",cashflow_value,1,42.83,10.15,1455002752,10.797872,8.15261,1.0867237,-7.305938,529950,NYSE,1784318402
MED,"Medifast, Inc.",asset_value,1,42.36,10.26,114082120,,-17.1,0.53215766,-25.598257,219890,NYSE,1784318402
TGLS,Tecnoglass Inc.,cashflow_value;fallen_profitable,2,42.32,46.48,2062076672,14.390093,13.019608,2.8047307,-37.69437,300400,NYSE,1784318403
EVT,Eaton Vance Tax-Advantaged Dividend Income Fund,asset_value,1,42.22,27.1,2020109440,4.2410016,,0.9480165,12.681913,101988,NYSE,1784318402
LRN,"Stride, Inc.",cashflow_value;fallen_profitable,2,42.15,87.32,3713268992,13.665102,9.9718275,2.2283468,-34.09314,819682,NYSE,1784318402
LKFT,Lakefront Biotherapeutics NV,cashflow_value,1,41.99,30.01,1965195008,3.5556874,-15.299941,10.646449,-6.6272554,171046,NasdaqGS,1784318401
TUYA,Tuya Inc.,asset_value,1,41.8,1.74,1066812544,17.4,13.132076,1.0648715,-30.677288,1050030,NYSE,1784318402
RIGL,"Rigel Pharmaceuticals, Inc.",cashflow_value,1,41.26,40.54,750074368,2.101607,8.481278,1.8735558,106.94232,391166,NasdaqGS,1784318400
