symbol,name,price,market_cap,enterprise_value,total_cash,total_debt,revenue_ttm,ebitda_ttm,operating_cashflow_ttm,free_cashflow_ttm,trailing_pe,forward_pe,price_to_book,enterprise_to_ebitda,profit_margin,return_on_equity,current_ratio,debt_to_equity,insider_ownership,institutional_ownership,shares_outstanding,float_shares,change_52w,average_volume,currency
AXR,AMREP Corporation,25.6,135813104,84966280,49998000,21000,53001000,14109000,13646000,8780875,10.622406,,0.96815675,6.022,0.244,0.09747,25.939,0.015,0.46492,0.44446,5305199,2787475,0.18244803,9343,USD
SHOE,Shoe Station Group Inc.,14.49,393422432,625275456,129348000,361200992,1128338944,94591000,104016000,48060124,10.733333,7.8607736,0.5842271,6.61,0.03306,0.056209996,4.022,53.638,0.33927,0.73894995,27151308,17822390,-0.3093422,531475,USD
BBW,"Build-A-Bear Workshop, Inc.",34.13,427902944,516620640,25843000,125690000,526707008,84195000,58473000,16598125,7.9929748,7.9249163,2.640619,6.136,0.104770005,0.35868,1.53,79.041,0.05552,1.05504,12537443,10490289,-0.35894066,388496,USD
FOR,Forestar Group Inc.,29.9,1525161088,1319283072,318793984,111704000,1708400000,213500000,267000000,176875008,9.115853,9.402515,0.83854496,6.179,0.09793,0.09666,1.912,16.559,0.62235,0.37709,51008733,19263448,0.35416663,147391,USD
ETD,Ethan Allen Interiors Inc.,22.78,579667648,594078592,106488000,120988000,593091968,61342000,54875000,34178624,14.417722,15.710344,1.22335,9.685,0.06811,0.08479,1.939,25.539,0.09064999,0.88943,25446339,23836858,-0.21691304,574185,USD
YELP,Yelp Inc.,26.22,1441856256,1486368256,110412000,154924000,1467878016,206398000,331849984,281926880,12.027522,6.367942,2.3230264,7.201,0.09466,0.20446,1.739,24.549,0.06396,1.16806,54990704,53213404,-0.24806422,1288416,USD
UPWK,Upwork Inc.,9.06,1119074304,918817344,579734016,379476992,790561024,140783008,234312992,172279120,11.185185,5.199456,1.9652929,6.526,0.13807,0.18756,1.365,66.619,0.05183,0.99234,123518137,114471669,-0.32286996,4065498,USD
INVA,"Innoviva, Inc.",21.71,1602387968,1321874944,611931008,331417984,420689984,192700000,183595008,105171624,3.468051,9.823529,1.1943008,6.86,1.19885,0.50725,21.134,24.702,0.00989,1.08035,73808749,69201607,0.113333344,823066,USD
GIII,"G-III Apparel Group, Ltd.",35.42,1494390016,1393735040,394220000,293564992,2909364992,262940992,203375008,128402376,12.47183,14.34008,0.8192436,5.301,0.04335,0.0719,3.177,16.093,0.15246001,1.04164,42190573,36531130,0.5260663,568004,USD
MGPI,"MGP Ingredients, Inc.",17.86,381690304,623653312,10357000,253964992,521148992,100422000,83799000,44757500,,8.49465,0.6565694,6.21,-0.45973,-0.34072,2.736,43.814,0.32578,0.73371005,21371237,14466404,-0.4070385,205045,USD
