symbol,shortName,currentPrice,marketCap,trailingPE,forwardPE,priceToSalesTrailing12Months,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,averageVolume,dividendYield,beta
VRT,"Vertiv Holdings, LLC",294.11,112970235904,76.392204,33.146065,10.418341,118.7,379.935,323.0214,240.0759,6166680,0.08,2.029
GLW,Corning Incorporated,158.39,136316428288,84.25,36.91937,8.35221,53.18,271.78,192.1992,131.89725,14629075,0.64,1.086
MRVL,"Marvell Technology, Inc.",188.3,169007628288,64.7079,30.373907,19.388056,61.44,329.88,235.1536,129.32935,42460301,0.12,2.197
COHR,Coherent Corp.,276.96,54184267776,131.88571,33.60504,8.207147,84.35,440.0,366.6078,246.015,5916366,,2.037
SNDK,Sandisk Corporation,1411.08,208966483968,48.308113,6.6372347,15.850006,40.1,2354.39,1725.3296,775.5276,13243662,,
ALAB,"Astera Labs, Inc.",319.74,54805970944,238.61192,73.20406,54.726948,90.9,499.476,337.14,202.5656,6042301,,3.671
CRDO,Credo Technology Group Holding ,207.97,38781808640,90.030304,23.175787,29.04752,86.485,308.67,228.7702,162.55624,8300900,,3.202
ENTG,"Entegris, Inc.",134.6,20499580928,77.803474,28.839685,6.336222,67.97,186.94,146.5982,117.3499,3345053,0.29,1.309
MP,MP Materials Corp.,45.46,8092888576,,45.71279,23.284266,44.43,100.251,59.2922,60.8884,6005385,,1.863
ONTO,Onto Innovation Inc.,281.61,14008285184,140.805,28.316088,13.592293,89.4,386.46,294.9946,213.8237,1282472,,1.545
NET,"Cloudflare, Inc.",272.46,96706830336,,172.59268,41.52994,158.83,291.0,236.085,210.4348,3962098,,1.671
IBM,International Business Machines,219.05,205881884672,18.690273,16.503714,2.9876492,204.44,332.46,261.989,274.29614,10753825,3.2,0.675
NVDA,NVIDIA Corporation,207.4,5023435063296,31.7611,16.16365,19.817015,164.07,236.54,209.7886,192.2902,156945270,0.48,2.211
CAMT,Camtek Ltd.,147.92,6901432320,150.93877,32.69073,13.827949,75.75,215.99,168.9256,146.10895,505391,,1.567
PLAB,"Photronics, Inc.",29.02,1711126528,10.992424,14.366337,1.9869789,19.09,56.0,37.3746,34.2334,1513170,,1.368
ACLS,"Axcelis Technologies, Inc.",139.34,4282460928,45.093853,28.741749,5.065357,65.64,193.78,159.532,108.6617,678127,,1.873
KLIC,"Kulicke and Soffa Industries, I",99.02,5182001152,104.231575,23.37213,6.745491,31.32,135.8,109.5806,69.8369,1024103,0.76,1.632
FORM,"FormFactor, Inc.",107.11,8349735424,123.114944,38.37349,9.942754,26.08,160.27,130.6976,90.33225,1991082,,1.217
VECO,Veeco Instruments Inc.,54.36,3317780224,143.05263,17.852098,5.0626626,19.29,86.63,63.1312,40.3396,1643858,,1.335
ACMR,"ACM Research, Inc.",84.09,5811416576,70.66386,37.3181,6.05214,23.03,127.19,86.8362,55.845024,1696145,,1.899
LITE,Lumentum Holdings Inc.,706.23,54944694272,131.51396,38.588978,22.080332,97.551,1085.68,874.6066,569.3769,5584666,,1.482
